"id","stateid","name","status","created_at","updated_at"
"1106","26","Bhatinda","1","2023-04-11 06:11:35","2023-04-11 06:11:35"
"1107","26","Khanna","1","2023-04-11 06:11:55","2023-04-11 06:11:55"
"1108","26","Moga","1","2023-04-11 06:12:14","2023-04-11 06:12:14"
"1109","26","Malerkotla","1","2023-04-11 06:12:32","2023-04-11 06:12:32"
"1110","26","Firozpur","1","2023-04-11 06:13:19","2023-04-11 06:13:19"
"1111","26","Jalalabad","1","2023-04-11 06:13:39","2023-04-11 06:13:39"
"1112","26","Nihal Singh Wala","1","2023-04-11 06:14:01","2023-04-11 06:14:01"
"1113","26","Faridkot","1","2023-04-11 06:14:15","2023-04-11 06:14:15"
"1114","26","Bhikhi","1","2023-04-11 06:14:39","2023-04-11 06:14:39"
"1115","26","Fazilka","1","2023-04-11 06:15:11","2023-04-11 06:15:11"
"1116","26","Hambran","1","2023-04-11 06:15:31","2023-04-11 06:15:31"
"1117","26","Fatehgarh Churian","1","2023-04-11 06:16:02","2023-04-11 06:16:02"
"1118","26","Sri Hargobindpur","1","2023-04-11 06:16:37","2023-04-11 06:22:57"
"1119","26","Mukerian","1","2023-04-11 06:17:06","2023-04-11 06:17:06"
"1120","26","Sultanpur Lodhi","1","2023-04-11 06:17:21","2023-04-11 06:17:21"
"1121","26","Nakodar","1","2023-04-11 06:18:04","2023-04-11 06:18:04"
"1122","26","Banga","1","2023-04-11 06:18:44","2023-04-11 06:18:44"
"1123","26","Hoshiarpur","1","2023-04-11 06:19:07","2023-04-11 06:19:07"
