"id","category_id","product_name","sku","alias","product_description","product_specs","product_size","product_thickness","product_ply","product_id","price","weight","sale_price","s_start_date","s_end_date","sp_status","thumb_image","big_image","himage","pdf","seo_title","seo_keywords","seo_description","p_quantity","status","cdate","ordering","p_color","related_product","product_life","NewArrivals","Exclusive","Promotion","AmazingOffers","popular","short_desc","additional_information","neworold"
"521","46","Roasted Oak","F880","roasted-oak",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","Roasted-Oak-F880.jpg","Roasted-Oak-F880.jpg",,,"Roasted Oak","Roasted Oak","Roasted Oak","0","1","0000-00-00 00:00:00","0",,,"1","0","0","0","0","0","0","0","0"
"522","46","Burnt Walnut","F858","burnt-walnut",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","Burnt-Walnut-F858.jpg","Burnt-Walnut-F858.jpg",,,"Burnt Walnut","Burnt Walnut","Burnt Walnut","0","1","0000-00-00 00:00:00","0",,,"1","0","0","0","0","0","0","0","0"
"523","46","Brazilian Rose Wood","F729","brazilian-rose-wood",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","Brazilian-Rose-Wood-F729.jpg","Brazilian-Rose-Wood-F729.jpg",,,"Brazilian Rose Wood","Brazilian Rose Wood","Brazilian Rose Wood","0","1","0000-00-00 00:00:00","0",,,"1","0","0","0","0","0","0","0","0"
"524","46","Caffeine Oak","F836","caffeine-oak",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","Caffeine-Oak-F836.jpg","Caffeine-Oak-F836.jpg",,,"Caffeine Oak","Caffeine Oak","Caffeine Oak","0","1","0000-00-00 00:00:00","0",,,"1","0","0","0","0","0","0","0","0"
"525","46","Lauropreto Crown","F837","lauropreto-crown",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","Louro-Preto-Crown-F837.jpg","Louro-Preto-Crown-F837.jpg",,,"Lauropreto Crown","Lauropreto Crown","Lauropreto Crown","0","1","0000-00-00 00:00:00","0",,,"1","0","0","0","0","0","0","0","0"
"526","46","Smoked Wenge crown","F838","smoked-wenge-crown",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","Smoked-Wenge-Crown-F838.jpg","Smoked-Wenge-Crown-F838.jpg",,,"Smoked Wenge crown","Smoked Wenge crown","Smoked Wenge crown","0","1","0000-00-00 00:00:00","0",,,"1","0","0","0","0","0","0","0","0"
"527","46","Dusky Wenge Crown","F646","dusky-wenge-crown",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","Dusky-Wenge-Crown-F646.jpg","Dusky-Wenge-Crown-F646.jpg",,,"Dusky Wenge Crown","Dusky Wenge Crown","Dusky Wenge Crown","0","1","0000-00-00 00:00:00","0",,,"1","0","0","0","0","0","0","0","0"
"528","46","Walnut Clatter Crown","F692","walnut-clatter-crown",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","Walnut-Clatter-Crowm-F692.jpg","Walnut-Clatter-Crowm-F692.jpg",,,"Walnut Clatter Crown","Walnut Clatter Crown","Walnut Clatter Crown","0","1","0000-00-00 00:00:00","0",,,"1","0","0","0","0","0","0","0","0"
"529","46","Dusty Rails Crown","F668","dusty-rails-crown",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","Dusty-Rails-Crown-F668.jpg","Dusty-Rails-Crown-F668.jpg",,,"Dusty Rails Crown","Dusty Rails Crown","Dusty Rails Crown","0","1","0000-00-00 00:00:00","0",,,"1","0","0","0","0","0","0","0","0"
"530","46","Brown Ebony Crown","F844","brown-ebony-crown",,,"8ft. x 4ft.",,,,"0",,"0","0000-00-00","0000-00-00","0","Brown-Ebony-Crown-F844.jpg","Brown-Ebony-Crown-F844.jpg",,,"Brown Ebony Crown","Brown Ebony Crown","Brown Ebony Crown","0","1","0000-00-00 00:00:00","0",,,"1","0","0","0","0","0","0","0","0"
