ID,Name,cat,,model_code,alias,specs,imag,,
1502,Brown Santos,Medium,,NULL,brown-santos,8ft. x 4ft.,medium-brown-santos-small.jpg,medium-brown-santos-large.jpg,
1503,Double Coloured Chestnut,Medium,,NULL,double-coloured-chestnut,8ft. x 4ft.,,,
1504,Figured Olive Ash,Medium,,NULL,figured-olive-ash,8ft. x 4ft.,,,
1505,Golden Ceder,Medium,,NV-210,golden-cedar,8ft. x 4ft.,NV-210-Golden-Cedar.jpg,NV-210-Golden-Cedar.jpg,
1506,Golden Wood,Medium,,NV-358,golden-wood,8ft. x 4ft.,NV-358-Golden-Wood.jpg,NV-358-Golden-Wood.jpg,
1507,Guiabao,Medium,,NV-209,guiabao,8ft. x 4ft.,NV-209-Guiabao.jpg,NV-209-Guiabao.jpg,
1508,Jatoba,Medium,,NV-249,jatoba,8ft. x 4ft.,NV-249-Jatoba.jpg,NV-249-Jatoba.jpg,
1509,Mahogany,Medium,,NV-424,mahogany,8ft. x 4ft.,NV-424-Mahogany.jpg,NV-424-Mahogany.jpg,
1510,Multicoloured Tulip,Medium,,NULL,multicoloured-tulip,8ft. x 4ft.,medium-multicoloured-tulip-small.jpg,medium-multicoloured-tulip-large.jpg,
1511,Ovangkol,Medium,,NV-B61,ovangkol,8ft. x 4ft.,medium-ovangkol-small.jpg,medium-ovangkol-large.jpg,
1512,Paldao,Medium,,NV-629,paldao,8ft. x 4ft.,NV-629-Paldao.jpg,NV-629-Paldao.jpg,
1513,Red Cedar,Medium,,NV-373,red-cedar,8ft. x 4ft.,NV-373-Red-Cedar.jpg,NV-373-Red-Cedar.jpg,
1514,Red Oak Crown,Medium,,NULL,red-oak-crown,8ft. x 4ft.,,,
1515,Red Oak Quarter,Medium,,NV-463,red-oak-quarter,8ft. x 4ft.,NV-463-Red-Oak-Quarter.jpg,NV-463-Red-Oak-Quarter.jpg,
1516,Red Oak,Medium,,NV-416,red-oak,8ft. x 4ft.,NV-416-Red-Oak.jpg,NV-416-Red-Oak.jpg,
1517,Silver Oak,Medium,,NV-412,silver-oak,8ft. x 4ft.,NV-412-Silver-Oak.jpg,NV-412-Silver-Oak.jpg,
1518,Tineo,Medium,,NV-570,tineo,8ft. x 4ft.,NV-570-Tineo.jpg,NV-570-Tineo.jpg,
1519,White Oak Crown,Medium,,NULL,white-oak-crown,8ft. x 4ft.,,,
1520,White Oak,Medium,,NV-386,white-oak,8ft. x 4ft.,NV-386-White-Oak.jpg,NV-386-White-Oak.jpg,
1521,Khaya,Medium,,NV-368,khaya,8ft. x 4ft.,NV-368-Khaya.jpg,NV-368-Khaya.jpg,
1522,White Oak Quarter,Medium,,NV-456,white-oak-quarter,8ft. x 4ft.,NV-456-White-Oak-Quarter.jpg,NV-456-White-Oak-Quarter.jpg,
1523,Zebrano,Medium,,NV-247,zebrano,8ft. x 4ft.,NV-247-Zebrano.jpg,NV-247-Zebrano.jpg,
1524,Etimoe,Medium,,NULL,etimoe,8ft. x 4ft.,medium-etimoe-small.jpg,medium-etimoe-large.jpg,
1525,Bubinga,Medium,,NULL,bubinga,8ft. x 4ft.,Bubinga.jpg,Bubinga.jpg,
1526,Golden Cedar Crown,Medium,,NULL,golden-cedar-crown,8ft. x 4ft.,Golden-Cedar-Crown.jpg,Golden-Cedar-Crown.jpg,
1527,Brown Santos,Medium,,NV-876,brown-santos,8ft. x 4ft.,NV-876-brown-santos.jpg,NV-876-brown-santos.jpg,
1528,Oriental Ash,Medium,,NV-D33,oriental-ash,8ft. x 4ft.,NV-D33-oriental-ash.jpg,NV-D33-oriental-ash.jpg,
1529,Afromosia Crown,Medium,,NV-635,afromosia-crown,8ft. x 4ft.,NV-635-afromosia-crown.jpg,NV-635-afromosia-crown.jpg,
1530,Golden Wenge,Medium,,NV-351,golden-wenge,8ft. x 4ft.,NV-351-Golden-Wenge.jpg,NV-351-Golden-Wenge.jpg,
1531,Etimoe,Medium,,NV-467,Etimoe,8ft. x 4ft.,NV-467-Etimo.jpg,NV-467-Etimo.jpg,
1532,French Walnut,Medium,,NV-D94,french-walnut,8ft. x 4ft.,NV-D94-french-walnut.jpg,NV-D94-french-walnut.jpg,
1533,American Maple,Light,,NV-306,american-maple,8ft. x 4ft.,NV-306-American-Maple.jpg,NV-306-American-Maple.jpg,
1534,Anegre,Light,,NV-432,anegre,8ft. x 4ft.,NV-432-Anegre.jpg,NV-432-Anegre.jpg,
1535,Chen Chen,Light,,NV-256,chen-chen,8ft. x 4ft.,NV-256-Chen-Chen.jpg,NV-256-Chen-Chen.jpg,
1536,Chestnut,Light,,NV-557,chestnut,8ft. x 4ft.,NV-557-Chestnut.jpg,"NV-557-Chestnut.jpg
",
1537,Eucalyptus,Light,,NV-222,eucalyptus,8ft. x 4ft.,NV-222-Eucalyptus.jpg,NV-222-Eucalyptus.jpg,
1538,Figured Ash,Light,,NULL,figured-ash,8ft. x 4ft.,,,
1539,Figured Maple,Light,,NULL,figured-maple,8ft. x 4ft.,,,
1540,Figured Sycamore,Light,,NV-211,figured-sycamore,8ft. x 4ft.,NV-211-Figured-Sycamore.jpg,NV-211-Figured-Sycamore.jpg,
1541,Golden Cherry,Light,,NULL,golden-cherry,8ft. x 4ft.,light-golden-cherry-small.jpg,light-golden-cherry-large.jpg,
1542,Knotty Pine,Light,,NV-379,knotty-pine,8ft. x 4ft.,NV-379-Knotty-Pine.jpg,NV-379-Knotty-Pine.jpg,
1543,Koto,Light,,NV-375,koto,8ft. x 4ft.,NV-375-Koto.jpg,NV-375-Koto.jpg,
1544,Larch,Light,,NV-341,larch,8ft. x 4ft.,NV-341-Larch.jpg,NV-341-Larch.jpg,
1545,Steamed Beech,Light,,NV-410,steamed-beech,8ft. x 4ft.,NV-410-Steamed-Beech.jpg,NV-410-Steamed-Beech.jpg,
1546,Sycamore,Light,,NV-395,sycamore,8ft. x 4ft.,NV-395-Sycamore.jpg,NV-395-Sycamore.jpg,
1547,Tulip,Light,,NV-372,tulip,8ft. x 4ft.,NV-372-Tulip.jpg,NV-372-Tulip.jpg,
