Zone,State,document_id,Location,product,category,,Thickness,Length,Width,Ecom Price / Sheet,Additional Price,New Price,GST (18%),Price with GST,id,product_id,price,sale_price,product_size,product_thickness,product_zone,sortby,type,shipmenttype,status,stateid,cdate
WEST,Gujarat,gbaba6v0fdpxdor33idi4b7k,Surat,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,9,8,4,2317,100,2417,435.04,2852,87,2,2417,0,24401220,9,18,1,2,0,1,17,0000-00-00 00:00:00
WEST,Gujarat,gbaba6v0fdpxdor33idi4b7k,Surat,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,12,8,4,2947,100,3047,548.43,3595,88,2,3047,0,24401220,12,18,1,2,0,1,17,0000-00-00 00:00:00
WEST,Gujarat,gbaba6v0fdpxdor33idi4b7k,Surat,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,16,8,4,3753,100,3853,693.54,4547,89,2,3853,0,24401220,16,18,1,2,0,1,17,0000-00-00 00:00:00
WEST,Gujarat,gbaba6v0fdpxdor33idi4b7k,Surat,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,19,8,4,4156,100,4256,766.09,5022,90,2,4256,0,24401220,19,18,1,2,0,1,17,0000-00-00 00:00:00
South,TN1,ylgwnbiuuig4fjfcdrbricuw,Chennai,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,6,8,4,1929,100,2029,365.17,2394,91,2,2029,0,24401220,6,19,1,2,0,1,19,0000-00-00 00:00:00
South,TN1,ylgwnbiuuig4fjfcdrbricuw,Chennai,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,9,8,4,2320,100,2420,435.58,2855,92,2,2420,0,24401220,9,19,1,2,0,1,19,0000-00-00 00:00:00
South,TN1,ylgwnbiuuig4fjfcdrbricuw,Chennai,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,12,8,4,2935,100,3035,546.28,3581,93,2,3035,0,24401220,12,19,1,2,0,1,19,0000-00-00 00:00:00
South,TN1,ylgwnbiuuig4fjfcdrbricuw,Chennai,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,16,8,4,3723,100,3823,688.16,4511,94,2,3823,0,24401220,16,19,1,2,0,1,19,0000-00-00 00:00:00
South,TN1,ylgwnbiuuig4fjfcdrbricuw,Chennai,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,19,8,4,4123,100,4223,760.18,4983,95,2,4223,0,24401220,19,19,1,2,0,1,19,0000-00-00 00:00:00
South,TN1,ylgwnbiuuig4fjfcdrbricuw,Coimbator,z6wzffguahht25ss4bsbsncy,da98xs9cbhzyivcd1tcxmj6f,,6,8,4,1929,100,2029,365.17,2394,96,2,2029,0,24401220,6,20,1,2,0,1,19,0000-00-00 00:00:00
