product_id,Kolkata,BBSR,Guwahati,Mumbai,Patna,Ranchi,Raipur,Lucknow,Indore,Nagpur,Pune,Bangalore,Hubli,Goa,Hyderabad,Gujarat,Chennai,Coimbatore,Kochi,Delhi,Gurgaon,Haryana,Ghaziabad,Ludhiana,Rajasthan,Uttarakhand
rpnseu7b67um15dtmxhywpnl,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
a6j2lqggjlwmcvyh1hd5u1n2,1535,1525,1600,1625,1585,1585,1630,1610,1620,1650,1635,1563,1550,1565,1575,1624,1568,1581,1564,1528,1575,1575,1585,1596,1608,1596
d0llkmfohhz1xn3dcn8usgcf,2315,2335,2410,2375,2380,2380,2380,2390,2370,2400,2385,2313,2300,2315,2325,2374,2266,2278,2262,2226,2273,2273,2305,2306,2328,2316
p13vs8x5y78yo3aqmw1penmh,2315,2335,2410,2375,2380,2380,2380,2390,2370,2400,2385,2313,2300,2315,2325,2374,2266,2278,2262,2226,2273,2273,2305,2306,2328,2316
t382ialx732rfp77j1eqgf41,2315,2335,2410,2375,2380,2380,2380,2390,2370,2400,2385,2313,2300,2315,2325,2374,2266,2278,2262,2226,2273,2273,2305,2306,2328,2316
b92konop0aof8n2sa5u9mo3i,2315,2335,2410,2375,2380,2380,2380,2390,2370,2400,2385,2313,2300,2315,2325,2374,2266,2278,2262,2226,2273,2273,2305,2306,2328,2316
rl2dz3dbnjxxvqnq9n5txh19,2315,2335,2410,2375,2380,2380,2380,2390,2370,2400,2385,2313,2300,2315,2325,2374,2266,2278,2262,2226,2273,2273,2305,2306,2328,2316
t4i1keumyze1hwciu83ydloi,2315,2335,2410,2375,2380,2380,2380,2390,2370,2400,2385,2313,2300,2315,2325,2374,2266,2278,2262,2226,2273,2273,2305,2306,2328,2316
f86p5b3vkd108njsgrn5uqp3,2315,2335,2410,2375,2380,2380,2380,2390,2370,2400,2385,2313,2300,2315,2325,2374,2266,2278,2262,2226,2273,2273,2305,2306,2328,2316
cpzet1vgm43rc0ru90q2pilw,2315,2335,2410,2375,2380,2380,2380,2390,2370,2400,2385,2313,2300,2315,2325,2374,2266,2278,2262,2226,2273,2273,2305,2306,2328,2316
xw5nweqc1did62s7uy78zzqj,2315,2335,2410,2375,2380,2380,2380,2390,2370,2400,2385,2313,2300,2315,2325,2374,2266,2278,2262,2226,2273,2273,2305,2306,2328,2316
zsrg78b5va237p1q0vqucdwm,2315,2335,2410,2375,2380,2380,2380,2390,2370,2400,2385,2313,2300,2315,2325,2374,2266,2278,2262,2226,2273,2273,2305,2306,2328,2316
